feature,importance
EXT_SOURCE_3,870018.9081745148
EXT_SOURCE_2,731658.4945602417
EXT_SOURCE_1,301511.6864709854
CREDIT_TERM,248991.75816345215
DAYS_EMPLOYED,159774.54536437988
DAYS_BIRTH,126460.95054721832
AMT_ANNUITY,96894.6363286972
BUREAU_DAYS_CREDIT_MAX,86116.56576442719
INST_DAYS_LATE_MAX,82390.20628166199
POS_CNT_INSTALMENT_FUTURE_MEAN,82021.13921165466
OWN_CAR_AGE,80542.8429145813
INST_AMT_PAYMENT_SUM,79914.92879295349
INST_AMT_PAYMENT_MIN,79865.70115280151
PREV_AMT_DOWN_PAYMENT_MAX,74333.08396530151
INST_PAYMENT_DIFF_MEAN,73430.81299209595
AMT_GOODS_PRICE,72966.93206882477
DAYS_EMPLOYED_PERCENT,70866.03795814514
BUREAU_DAYS_CREDIT_ENDDATE_MAX,69266.536860466
AMT_CREDIT,68732.9693479538
DAYS_ID_PUBLISH,67931.14547920227
INST_DAYS_LATE_SUM,67042.99976158142
PREV_CNT_PAYMENT_MEAN,65298.91724777222
ANNUITY_INCOME_PERCENT,63930.51473426819
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,61758.96183204651
BUREAU_DAYS_ENDDATE_FACT_MAX,58994.41328239441
CODE_GENDER_F,57577.009466171265
POS_COUNT,55394.011152267456
CC_CNT_DRAWINGS_CURRENT_MEAN,54072.364711761475
NAME_EDUCATION_TYPE_Higher_education,53647.356132507324
INST_DAYS_LATE_MEAN,53627.026416778564
DAYS_REGISTRATION,50912.49660396576
PREV_STATUS_Refused_SUM,50819.092843055725
CREDIT_INCOME_PERCENT,50713.949964523315
DAYS_LAST_PHONE_CHANGE,49848.10966873169
BUREAU_DAYS_CREDIT_MEAN,46454.41413497925
BUREAU_AMT_CREDIT_SUM_MEAN,46201.00313949585
PREV_AMT_ANNUITY_MIN,44822.39404010773
PREV_DAYS_DECISION_MAX,44170.777477264404
PREV_DAYS_DECISION_MIN,43275.70886039734
BUREAU_AMT_CREDIT_SUM_MAX,42719.749155044556
POS_MONTHS_BALANCE_MIN,42096.74263763428
REGION_POPULATION_RELATIVE,42052.051290512085
POS_MONTHS_BALANCE_MAX,42015.73106384277
PREV_AMT_ANNUITY_MEAN,40996.14189720154
BUREAU_AMT_CREDIT_SUM_MIN,40664.69892692566
PREV_AMT_DOWN_PAYMENT_MEAN,40591.50815010071
INST_AMT_INSTALMENT_MIN,40369.96258544922
INST_AMT_PAYMENT_MEAN,39500.46500205994
PREV_DAYS_DECISION_MEAN,39482.7200050354
INST_PAYMENT_DIFF_SUM,38400.626626968384
POS_MONTHS_BALANCE_MEAN,37770.77045059204
CC_AMT_BALANCE_MEAN,37580.097091674805
BUREAU_DAYS_CREDIT_UPDATE_MAX,37232.895568847656
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,36189.070039749146
BUREAU_DAYS_CREDIT_ENDDATE_SUM,35472.833360672
BUREAU_AMT_CREDIT_SUM_SUM,35333.124656677246
INST_AMT_INSTALMENT_MAX,34747.609088897705
PREV_CNT_PAYMENT_MAX,33710.10654640198
PREV_AMT_ANNUITY_MAX,31728.174489974976
INST_DAYS_LATE_MIN,31688.601326942444
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,31145.473448753357
BUREAU_DAYS_CREDIT_UPDATE_MEAN,30140.706399917603
INST_COUNT,29936.03775215149
BUREAU_DAYS_ENDDATE_FACT_MEAN,29864.988761901855
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,29094.353353500366
BUREAU_DAYS_CREDIT_MIN,28976.298570632935
INST_AMT_INSTALMENT_SUM,28605.82225036621
POS_CNT_INSTALMENT_MEAN,28029.064683914185
INCOME_PER_PERSON,26671.321628570557
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,26657.63275527954
BUREAU_DAYS_CREDIT_SUM,26111.44098854065
BUREAU_DAYS_ENDDATE_FACT_MIN,25691.053478240967
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,25361.96376800537
POS_SK_DPD_DEF_MEAN,24992.399919509888
AMT_INCOME_TOTAL,24288.42228126526
BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,24273.585067749023
PREV_AMT_APPLICATION_MEAN,23952.251922607422
NAME_FAMILY_STATUS_Married,23585.917783737183
INST_AMT_PAYMENT_MAX,22881.58987045288
POS_CNT_INSTALMENT_MAX,22562.29327583313
BUREAU_DAYS_CREDIT_ENDDATE_MIN,22297.590419769287
PREV_AMT_CREDIT_MAX,22195.670309066772
NAME_CONTRACT_TYPE_Cash_loans,22042.60740661621
TOTALAREA_MODE,21163.95545578003
FLAG_DOCUMENT_3,20902.486330986023
BUREAU_DAYS_CREDIT_UPDATE_SUM,20380.43463897705
BUREAU_DAYS_ENDDATE_FACT_SUM,20145.275564193726
PREV_AMT_CREDIT_MIN,20132.391311645508
INST_PAYMENT_DIFF_MIN,19995.34242248535
INST_AMT_INSTALMENT_MEAN,19978.23226928711
BUREAU_DAYS_CREDIT_UPDATE_MIN,19713.090591430664
PREV_AMT_DOWN_PAYMENT_MIN,19572.02975845337
PREV_AMT_APPLICATION_MAX,19351.039791107178
PREV_AMT_CREDIT_MEAN,19328.367624282837
REGION_RATING_CLIENT_W_CITY,18817.80765724182
CC_AMT_DRAWINGS_CURRENT_MEAN,18372.979482650757
PREV_AMT_APPLICATION_MIN,18329.920001983643
POS_CNT_INSTALMENT_FUTURE_MAX,18111.81349849701
NAME_EDUCATION_TYPE_Secondary___secondary_special,17161.577089309692
HOUR_APPR_PROCESS_START,17033.778012275696
POS_CNT_INSTALMENT_MIN,15707.755907058716
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,15672.812887191772
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,15387.392896652222
YEARS_BEGINEXPLUATATION_MODE,14472.274206161499
BUREAU_BB_STATUS_X_SUM_MEAN,14198.177473068237
APARTMENTS_MODE,14105.718399047852
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,14051.900491714478
BASEMENTAREA_MODE,13750.75023651123
LANDAREA_AVG,13710.367287635803
BUREAU_BB_STATUS_0_SUM_MEAN,13704.047580718994
CC_AMT_BALANCE_MAX,13608.07592201233
CC_AMT_PAYMENT_CURRENT_MAX,13510.133863449097
LANDAREA_MODE,13028.528442382812
DEF_60_CNT_SOCIAL_CIRCLE,12879.478811264038
APARTMENTS_AVG,12752.280241012573
BUREAU_BB_STATUS_C_SUM_MEAN,12585.940702438354
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,12535.052646636963
CODE_GENDER_M,12534.337383270264
LIVINGAREA_MEDI,12281.640367507935
BUREAU_AMT_ANNUITY_MAX,11432.187788009644
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,11362.554069519043
LIVINGAREA_AVG,11263.294418334961
BUREAU_CREDIT_COUNT,11252.561302185059
NONLIVINGAREA_MODE,11100.634809494019
CC_AMT_PAYMENT_CURRENT_SUM,11033.993515014648
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,10855.321123123169
LIVINGAREA_MODE,10687.179403305054
COMMONAREA_MODE,10541.380332946777
BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN,10502.090023040771
REG_CITY_NOT_LIVE_CITY,10107.583990097046
NONLIVINGAREA_AVG,9971.157232284546
BUREAU_AMT_ANNUITY_MEAN,9904.65142250061
CC_COUNT,9766.91611289978
AMT_REQ_CREDIT_BUREAU_QRT,9502.329916000366
BUREAU_BB_STATUS_C_SUM_MAX,9491.827585220337
YEARS_BEGINEXPLUATATION_MEDI,9420.540287017822
CC_CNT_DRAWINGS_CURRENT_MAX,9327.823531150818
LANDAREA_MEDI,9290.912111282349
DEF_30_CNT_SOCIAL_CIRCLE,9254.037677764893
BASEMENTAREA_AVG,9216.688907623291
CC_AMT_BALANCE_MIN,9069.109035491943
YEARS_BEGINEXPLUATATION_AVG,9038.382303237915
PREV_CNT_PAYMENT_MIN,8786.493824005127
COMMONAREA_AVG,8656.408487319946
CC_AMT_PAYMENT_CURRENT_MEAN,8592.343286514282
APARTMENTS_MEDI,8556.872192382812
INST_PAYMENT_DIFF_MAX,8471.702682495117
BASEMENTAREA_MEDI,8467.838376998901
NONLIVINGAREA_MEDI,8435.76141166687
BUREAU_BB_STATUS_0_SUM_MAX,8253.91661453247
LIVINGAPARTMENTS_MODE,8247.498735427856
BUREAU_BB_STATUS_1_SUM_MEAN,8158.434289932251
BUREAU_BB_MONTHS_BALANCE_MIN_MAX,7830.728807449341
BUREAU_BB_MONTHS_BALANCE_SIZE_MAX,7785.0226039886475
OCCUPATION_TYPE_Core_staff,7727.848890304565
AMT_REQ_CREDIT_BUREAU_YEAR,7629.134914398193
PREV_APP_COUNT,7577.813798904419
LIVINGAPARTMENTS_MEDI,7527.096929550171
CC_AMT_BALANCE_SUM,7486.846623420715
ENTRANCES_AVG,7373.195280075073
CC_CNT_DRAWINGS_CURRENT_SUM,7282.098098754883
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,7249.334505081177
OBS_30_CNT_SOCIAL_CIRCLE,7219.496778488159
YEARS_BUILD_MODE,7192.56192779541
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,7096.988519668579
OBS_60_CNT_SOCIAL_CIRCLE,7056.049795150757
PREV_STATUS_Approved_SUM,6955.962940216064
LIVINGAPARTMENTS_AVG,6499.8270053863525
BUREAU_AMT_ANNUITY_SUM,6402.611371994019
COMMONAREA_MEDI,6359.972635269165
FLOORSMAX_AVG,6238.5166301727295
POS_SK_DPD_DEF_MAX,6200.136116027832
CC_AMT_DRAWINGS_CURRENT_SUM,6190.0112018585205
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,6092.411617279053
POS_SK_DPD_MEAN,5975.289204597473
CC_AMT_DRAWINGS_CURRENT_MAX,5778.176399230957
ORGANIZATION_TYPE_Self_employed,5615.862037658691
BUREAU_AMT_ANNUITY_MIN,5566.109716415405
BUREAU_BB_STATUS_X_SUM_MAX,5546.411418914795
YEARS_BUILD_AVG,5175.185928344727
NAME_INCOME_TYPE_State_servant,5080.001201629639
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,4995.915981292725
NAME_INCOME_TYPE_Working,4885.547782897949
FLOORSMIN_AVG,4836.942506790161
POS_SK_DPD_MAX,4812.629388809204
REGION_RATING_CLIENT,4636.099094390869
FLAG_WORK_PHONE,4382.517303466797
OCCUPATION_TYPE_Drivers,4284.146905899048
CNT_FAM_MEMBERS,4086.168911933899
CC_SK_DPD_MEAN,4080.2163944244385
ORGANIZATION_TYPE_Business_Entity_Type_3,4001.250690460205
ELEVATORS_AVG,3956.396894454956
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,3900.128560066223
ORGANIZATION_TYPE_Construction,3850.999698638916
ENTRANCES_MODE,3794.758010864258
FLOORSMAX_MEDI,3771.500690460205
NONLIVINGAPARTMENTS_AVG,3712.2164154052734
YEARS_BUILD_MEDI,3675.474105834961
